Study,n,Mean,SD,Median,Q1,Q3,Min,Max,Mean_used,SD_used,Method
"Albano et al., 2025 (SRS)",42,2,1.6,NR,NR,NR,NR,NR,2,1.6,Original
"Albano et al., 2025 (HSRT)",42,2.3,1.9,NR,NR,NR,NR,NR,2.3,1.9,Original
"Castro et al., 2010",14,NR,NR,1.3,NR,NR,0.03,11.1,3.282,4.98,McGrath
"Chen et al., 2013",17,4.1,2.8,NR,NR,NR,NR,NR,4.1,2.8,Original
"Cho et al., 2009",17,03.08,NR,NR,NR,NR,NR,NR,03.08,NR,Original
"Deng et al., 2020",148,NR,NR,3.6,NR,NR,0.3,74.5,7.656,14.29,McGrath
"Dumot et al., 2023",869,NR,NR,3.4,NR,NR,NR,NR,NR,NR,Not convertible
"El-Shehaby et al., 2012",21,04.08,2.9,NR,NR,NR,NR,NR,04.08,2.9,Original
"Graffeo et al., 2018",57,NR,NR,2.8,1.3,4.7,NR,NR,3.389,2.698,McGrath
"Hasegawa et al., 2015",16,NR,NR,2,NR,NR,NR,NR,NR,NR,Not convertible
"Hata et al., 2021",32,NR,NR,5.33,NR,NR,01.09,62.66,12.863,27.569,McGrath
"Hayashi et al., 2010",43,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not convertible
"Höybye et al., 2009",23,NR,NR,1.1,NR,NR,0.3,4.6,1.57,1.558,McGrath
"Iwai et al., 2005",31,NR,NR,2.5,NR,NR,0.3,36.2,7.121,18.838,McGrath
"Iwata et al., 2011",100,NR,NR,5.1,NR,NR,0.7,64.3,9.278,13.91,McGrath
"Kajiwara et al., 2005",14,13.3,8.7,NR,NR,NR,NR,NR,13.3,8.7,Original
"Khattab et al., 2021",45,NR,NR,5.34,NR,NR,1.81,8,5.084,1.537,McGrath
"Killory et al., 2009",14,17.5,12.6,NR,NR,NR,NR,NR,17.5,12.6,Original
"Kobayashi et al., 2008",71,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not convertible
"Liao et al., 2014",21,05.06,03.08,NR,NR,NR,0.82,12.69,05.06,03.08,Original
"Liscák et al., 2007",79,NR,NR,3.45,NR,NR,0.1,31.3,5.972,7.164,McGrath
"Losa et al., 2016",272,NR,NR,1.5,0.8,2.6,NR,NR,1.899,1.519,McGrath
"McTyre et al., 2016",11,NR,NR,5.42,NR,NR,1.58,9.59,5.53,3,McGrath
"Maldar et al., 2022",63,3.1,2.5,NR,NR,NR,NR,NR,3.1,2.5,Original
"Martínez et al., 1998",14,4.73,3.49,NR,NR,NR,0.6,12.5,4.73,3.49,Original
"Mokry et al., 1999",22,4.4,4,NR,NR,NR,NR,NR,4.4,4,Original
"Muacevic et al., 2004",15,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not convertible
"Narayan et al., 2018",111,3.8,NR,3.8,NR,NR,0.45,19.1,3.8,NR,Original
"Oh et al., 2018",76,3.69,3.3,NR,NR,NR,NR,NR,3.69,3.3,Original
"Petrovich et al., 2003",56,NR,NR,2.3,NR,NR,NR,NR,NR,NR,Not convertible
"Pollock et al., 2008",62,NR,NR,4,NR,NR,0.8,12.9,4.67,2.919,McGrath
"Puataweepong et al., 2016",27*,NR,NR,3.35,NR,NR,0.82,25.86,NR,NR,Not convertible
"Runge et al., 2012",61,NR,4.3,3.5,NR,NR,0.3,17.3,4.688,4.165,McGrath
"Pomeraniec et al., 2018",222,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not convertible
"Sadik et al., 2017",50,NR,NR,3.4,NR,NR,0.22,11.1,3.885,2.683,McGrath
"Sheehan et al., 2013",512,4.6,4.9,NR,NR,NR,NR,NR,4.6,4.9,Original
"Shen et al., 2018",41,5.5,2.4,NR,NR,NR,NR,NR,5.5,2.4,Original
"Sicignano et al., 2012",68,1.6,1.6,NR,NR,NR,NR,NR,1.6,1.6,Original
"Sun et al., 2019",204,NR,NR,3.3,NR,NR,0.3,26.4,4.539,4.358,McGrath
"Tomšić et al., 2017",27,NR,NR,3.41,NR,NR,0.06,16.81,4.998,5.13,McGrath
Wilson et al. 2012 (SRS),51,NR,NR,2.4,NR,NR,0.31,9,2.944,2.195,McGrath
Wilson et al. 2012 (HSRT),67,NR,NR,6.8,NR,NR,0.2,115.6,15.9,33.742,McGrath
Tucker et al. 2020 (SRS),34,1.4,1.23,NR,NR,NR,NR,NR,1.4,1.23,Original
Tucker et al. 2020 (HSRT),19,3.94,4,NR,NR,NR,NR,NR,3.94,4,Original
Wei et al. 2025,178,4.4,5.3,NR,NR,NR,NR,NR,4.4,5.3,Original
Zeiler et al. 2013,86,5.41,NR,NR,NR,NR,0.33,14.3,5.41,NR,Original
Zhang et al. 2021,45,NR,NR,2.6,NR,NR,0.3,21.8,4.548,6.537,McGrath
