Author,Events,Total,technique,year,year5,bias,sample,volume
Wei et al 2025,1,178,CK,2025,1,Moderate,178,4.4
Dumot et al 2023,7,869,GK,2023,1,Moderate,869,
Deng et al 2020,4,148,GK,2020,2,Moderate,148,7.656
Tucker et al 2020,1,53,GK ,2020,2,Moderate,53,1.4
Narayan et al 2018,3,87,GK,2018,2,Moderate,87,3.8
Zeiler et al 2013,1,47,GK,2013,3,Moderate,47,5.41
Hoybye et al 2009,1,23,GK,2009,4,Serious,23,
Pollock et al 2008,1,62,GK,2008,4,Serious,62,4.67
Petrovich et al 2002,2,56,GK,2003,5,Serious,56,
Martinez et al 1998,1,14,GK,1998,6,Serious,14,
