Study,D1,D2,D3,D4,D5,D6,D7,Overall,Weight
Wei et al 2025,Moderate,Moderate,Low,Low,Low,Low,Low,Moderate,84
Albano et al 2025,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,178
Dumot et al 2023,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,869
Maldar et al 2022,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,63
Hata et al 2021,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,32
Khattab et al 2021,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,45
Zhang et al 2021,Moderate,Moderate,Low,Low,Low,Low,Low,Moderate,45
Deng et al 2020,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,148
Tucker et al 2020,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,53
Sun et al 2019,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,204
Graffeo et al 2018,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,57
Narayan et al 2018,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,87
Oh et al 2018,Moderate,Moderate,Low,Low,Low,Low,Low,Moderate,41
Pomeraniec et al 2018,Moderate,Moderate,Low,Low,Low,Low,Low,Moderate,76
Shen et al 2018,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,222
McTyre et al 2017,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,18
Sadik et al 2017,Serious,Moderate,Low,Moderate,Low,Moderate,Moderate,Serious,10
Tomsic et al 2017,Serious,Serious,Low,Low,Moderate,Moderate,Moderate,Serious,50
Losa et al 2016,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,272
Puataweepong et al 2016,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,27
Hasegawa et al 2015,Serious,Serious,Low,Low,Moderate,Low,Moderate,Serious,16
Chen et al 2013,Serious,Serious,Moderate,Low,Moderate,Moderate,Moderate,Serious,21
Liao 2013,Serious,Moderate,Low,Low,Low,Moderate,Moderate,Serious,47
Sheehan et al 2013,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,512
Zeiler et al 2013,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,17
El-shehaby et al 2012,Serious,Serious,Low,Low,Moderate,Moderate,Moderate,Serious,21
Runge et al 2012,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,61
Sicignano et al 2012,Serious,Serious,Low,Low,Moderate,Moderate,Moderate,Serious,68
Wilson et al 2012,Serious,Serious,Moderate,Low,Moderate,Moderate,Moderate,Serious,51
Iwata et al 2011,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,100
Castro et al 2010,Serious,Serious,Moderate,Low,Moderate,Moderate,Moderate,Serious,14
Hayashi et al 2010,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,43
Cho et al 2009,Serious,Serious,Moderate,Low,Moderate,Moderate,Moderate,Serious,17
Höybye et al 2009,Serious,Serious,Low,Low,Moderate,Low,Moderate,Serious,14
Killory et al 2009,Serious,Serious,Moderate,Low,Moderate,Moderate,Moderate,Serious,23
Kobayashi et al 2008,Serious,Serious,Low,Low,Moderate,Moderate,Moderate,Serious,71
Pollock et al 2008,Serious,Serious,Low,Low,Moderate,Low,Moderate,Serious,62
Liscak et al 2007,Serious,Serious,Low,Low,Moderate,Low,Moderate,Serious,79
Iwai et al 2005,Serious,Serious,Low,Low,Moderate,Low,Moderate,Serious,14
Kajiwara et al 2005,Serious,Serious,Moderate,Low,Moderate,Moderate,Moderate,Serious,31
Muacevic et al 2004,Serious,Serious,Low,Low,Moderate,Moderate,Moderate,Serious,60
Petrovich et al 2003,Serious,Serious,Low,Low,Moderate,Moderate,Moderate,Serious,56
Mokry et al 1999,Serious,Serious,Moderate,Low,Moderate,Moderate,Moderate,Serious,31
Martinez et al 1998,Serious,Serious,Moderate,Low,Moderate,Moderate,Moderate,Serious,14
