Author,Events,Total,technique,sample,year,year5,bias,volume
Albano et al 2025,39,42,GK,42,2025,1,Moderate,2
Wei et al 2025,170,178,CK,178,2025,1,Moderate,4.4
Dumot et al 2023,830,869,GK ,869,2023,1,Moderate,
Maldar et al 2022,59,63,GK ,63,2022,1,Moderate,3.1
Zhang et al 2021,39,45,GK ,45,2021,1,Moderate,4.548
Deng et al 2020,130,148,GK ,148,2020,2,Moderate,7.656
Tucker et al 2020,10,11,GK ,11,2020,2,Moderate,1.4
Sun et al 2019,194,204,GK ,204,2019,2,Moderate,4.539
Graffeo et al 2018,57,57,GK,57,2018,2,Moderate,3.389
Narayan et al 2018,78,87,GK,87,2018,2,Moderate,3.8
Losa et al 2017,258,272,GK,272,2017,2,Moderate,1.899
Hasegawa et al 2015,16,16,GK,16,2015,3,Serious,
Zeiler et al 2013,46,47,GK,47,2013,3,Moderate,5.41
El-Shehaby et al 2012,20,21,GK,21,2012,3,Serious,4.08
Runge et al 2012,60,61,LINAC,61,2012,3,Moderate,4.688
Wilson et al 2012,51,61,LINAC,61,2012,3,Serious,2.944
Castro et al 2010,114,123,GK,123,2010,4,Serious,3.282
Hayashi et al 2010,43,43,GK,43,2010,4,Moderate,
Hoybye et al 2009,23,23,GK,23,2009,4,Serious,
Kobayashi et al 2009,69,71,GK,71,2009,4,Serious,
Liscak et al 2007,79,79,GK,79,2007,4,Serious,
Iwai et al 2005,29,30,GK,30,2005,5,Serious,7.121
Muacevic et al 2004,54,60,GK,60,2004,5,Serious,
Petrovich et al 2002,56,56,GK,56,2002,5,Serious,
Mokry et al 1999,30,31,GK,31,1999,6,Serious,4.4
Martinez et al 1998,14,14,GK,14,1998,6,Serious,
